"ID","Type","Name","Documentation","Specialization"
"id-82c9f1a023af48aa8c31cd69823e8f7c","ArchimateModel","(new model)","",""
"id-cc6fa6c706464eaa974ebed67e91cdb9","BusinessActor","Bladesmith","",""
"id-cf42ebb5a1044430a0a2aa60c77eedaa","BusinessActor","Customer","",""
"id-1a282efca67749369440f48f3280afbd","BusinessEvent","Open Website","",""
"id-bd0e7cb0db3b44eaa2920e0e5a8c390e","BusinessEvent","Order Submitted","",""
"id-97c3cf4d72a842a19ec777aae421e52e","BusinessFunction","Purchase Product","",""
"id-4f6d9008cf1742f89235347414212651","BusinessFunction","Ship Product","",""
"id-cf7e62f8857340928f1b139a24d9cb01","BusinessInteraction","Select Product","",""
"id-b869af449af14904b9b88c80fb34ceae","BusinessProcess","Order Fulfillment","",""
"id-b4c8bedd61f04b0e81640fbd804094b1","BusinessProcess","Order Online","",""
"id-ba8d8eeeb5cb4187b0566aa31db69113","BusinessRole","Customer Service","",""
"id-bfe6904b19e4412cba8dbf45db03d2a8","ApplicationComponent","EmmertOttMetal.com","",""
"id-41eb8d4c0db6484da3e2ceca8f50ab77","Node","WIX","",""
