"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-68a843b2d4cb47e39f71d861f69a8416","AssociationRelationship","","","id-ba8d8eeeb5cb4187b0566aa31db69113","id-cc6fa6c706464eaa974ebed67e91cdb9",""
"id-76ac12fca62a450c90eee0babbfbda15","FlowRelationship","","","id-b4c8bedd61f04b0e81640fbd804094b1","id-b869af449af14904b9b88c80fb34ceae",""
"id-37c4cf728bf24f78ae00596c23052857","RealizationRelationship","","","id-bfe6904b19e4412cba8dbf45db03d2a8","id-1a282efca67749369440f48f3280afbd",""
"id-8dc1add877fd4a48a780dc52276036ac","RealizationRelationship","","","id-bfe6904b19e4412cba8dbf45db03d2a8","id-cf7e62f8857340928f1b139a24d9cb01",""
"id-85eed74b6231462ea99fba8d9972b6fb","RealizationRelationship","","","id-bfe6904b19e4412cba8dbf45db03d2a8","id-97c3cf4d72a842a19ec777aae421e52e",""
"id-ccf8139b6a24464697ef850530602e41","RealizationRelationship","","","id-bfe6904b19e4412cba8dbf45db03d2a8","id-bd0e7cb0db3b44eaa2920e0e5a8c390e",""
"id-3d76049c8be545d6886bb1f70b6b8c6c","RealizationRelationship","","","id-bfe6904b19e4412cba8dbf45db03d2a8","id-4f6d9008cf1742f89235347414212651",""
"id-bd916d933f3b4fe2b5aefb94432f50c5","ServingRelationship","","","id-b4c8bedd61f04b0e81640fbd804094b1","id-cf42ebb5a1044430a0a2aa60c77eedaa",""
"id-b43b282619824fcab1d655e57853b3e7","ServingRelationship","","","id-1a282efca67749369440f48f3280afbd","id-b4c8bedd61f04b0e81640fbd804094b1",""
"id-88fd678072214807ac5f2fdbb61d55cd","ServingRelationship","","","id-cf7e62f8857340928f1b139a24d9cb01","id-b4c8bedd61f04b0e81640fbd804094b1",""
"id-66bf94f98436492aabd03bd9108f9bc0","ServingRelationship","","","id-97c3cf4d72a842a19ec777aae421e52e","id-b4c8bedd61f04b0e81640fbd804094b1",""
"id-b631a95880c348de89939b606a294b6c","ServingRelationship","","","id-4f6d9008cf1742f89235347414212651","id-b869af449af14904b9b88c80fb34ceae",""
"id-3170783bf80b4990aeb13f317a9ba7b3","ServingRelationship","","","id-b869af449af14904b9b88c80fb34ceae","id-ba8d8eeeb5cb4187b0566aa31db69113",""
"id-6af99fd6db904efb8b8f3766dbb1a527","ServingRelationship","","","id-41eb8d4c0db6484da3e2ceca8f50ab77","id-bfe6904b19e4412cba8dbf45db03d2a8",""
"id-f009e691e5af4ad39a0ae8e8a6655217","TriggeringRelationship","","","id-bd0e7cb0db3b44eaa2920e0e5a8c390e","id-b869af449af14904b9b88c80fb34ceae",""
